cik,symbol
1750,AIR
1800,ABT
2488,AMD
2969,APD
3116,AKRX
3197,CECE
3453,MATX
3499,ALX
3545,ALCO
3570,LNG
4127,SWKS
4281,ARNC
4447,HES
4457,UHAL
4904,AEP
4962,AXP
4977,AFL
5272,AIG
5513,UNM
5981,AVD
6201,AAL
6281,ADI
6769,APA
6845,APOG
6951,AMAT
7039,TREC
7084,ADM
7332,SWN
7431,AWI
7536,ARW
7789,ASB
8063,ATRO
8146,ALOT
8670,ADP
8818,AVY
8858,AVT
8947,AZZ
9092,BMI
9326,BCPC
9389,BLL
9984,B
10254,ESTE
10329,BSET
10456,BAX
10795,BDX
11544,WRB
12208,BIO
12659,HRB
12927,BA
14177,BRID
14195,BGG
14272,BMY
14707,CAL
14846,BRT
14930,BC
15615,MTZ
16040,CBT
16058,CACI
16160,CALM
16732,CPB
16918,STZ
17843,CRS
18230,CAT
18255,CATO
18349,SNV
18498,GCO
18926,CTL
19411,MGLN
19446,CMD
19584,CHE
19617,JPM
19745,CPK
20212,CHDN
20286,CINF
20520,FTR
21076,CLX
21175,CNA
21344,KO
21510,COHR
21535,COHU
21665,CL
22356,CBSH
22444,CMC
23194,CRK
23197,CMTL
23217,CAG
23795,CTO
24090,CIA
24491,CTB
24545,TAP
24741,GLW
25232,CUZ
25445,CR
25743,TXMD
26058,CTS
26076,CUB
26172,CMI
26324,CW
26780,DAN
27419,TGT
27904,DAL
27996,DLX
28412,CMA
28823,DBD
28917,DDS
29002,DIOD
29534,DG
29644,DCI
29669,RRD
29905,DOV
29989,OMC
30305,DCO
30554,DD
30625,FLS
30697,WEN
31107,EML
31462,ECL
31791,PKI
31978,EE
32604,EMR
33002,EBF
33185,EFX
33213,EQT
33488,ESCA
34067,BOOM
34088,XOM
34563,FARM
34782,SRCE
34903,FRT
35214,FOE
35527,FITB
36029,FFIN
36047,CLGX
36104,USB
36146,TRMK
36270,MTB
36377,FHB
36506,MFNC
36966,FHN
37472,FLXS
37785,FMC
37808,FNB
37996,F
38725,FELE
38777,BEN
39263,CFR
39311,IBCP
39368,FUL
39899,TGNA
39911,GPS
40211,GATX
40533,GD
40545,GE
40704,GIS
40729,ALLY
40888,AJRD
40987,GPC
41719,GLT
42582,GT
42682,GRC
42888,GGG
43196,GTN
43920,GEF
45012,HAL
45876,HSC
46080,HAS
46129,AMOT
46195,BOH
46250,HWKN
46619,HEI
46765,HP
47111,HSY
47217,HPQ
47518,HRC
48039,HFC
48287,HNI
48465,HRL
48898,HUBB
49071,HUM
49196,HBAN
49600,EGP
49754,DIN
49826,ITW
50493,IMKTA
50725,GFF
50863,INTC
51143,IBM
51253,IFF
51434,IP
51644,IPG
52795,AXE
52827,RYN
54381,KAMN
54480,KSU
55067,K
55135,KELYA
55242,KMT
55772,KBAL
55785,KMB
56047,KEX
56679,KFY
56868,PNRG
56873,KR
57131,LZB
57515,LANC
57725,LCI
58361,LEE
58492,LEG
59255,VHI
59440,VGR
59478,LLY
59527,LECO
59558,LNC
60086,L
60519,LPX
60667,LOW
60714,LXU
60977,LDL
61398,TELL
61986,MTW
62234,MCS
62709,MMC
62996,MAS
63276,MAT
63296,MATW
63330,MLP
63754,MKC
63908,MCD
64040,SPGI
64472,GENC
64803,CVS
64996,MCY
65011,MDP
65270,MEI
65312,EVI
65596,SIEB
65984,ETR
66004,MSEX
66382,MLHR
66570,MSA
66740,MMM
66756,ALE
67215,DY
67347,MOD
67625,MNR
67716,MDU
68505,MSI
68709,MTSC
69488,MYE
69633,NSSC
69733,NATH
69891,FIZZ
70145,NFG
70318,THC
70415,GPX
70858,BAC
70866,NCR
71691,NYT
71829,NR
72162,NL
72207,NBL
72331,NDSN
72333,JWN
72573,MOV
72741,ES
72903,XEL
72971,WFC
73020,NWN
73088,NWE
73124,NTRS
73309,NUE
73756,OII
74046,ODC
74208,UDR
74260,ORI
74303,OLN
75208,OSG
75252,OMI
75288,OXM
75362,PCAR
75677,PKG
76267,PKE
76282,PKOH
76334,PH
76605,PATK
77159,PVAC
77281,PEI
77360,PNR
77476,PEP
77543,TPC
77877,PDCE
78003,PFE
78239,PVH
78749,AGYS
78814,PBI
78890,BCO
79282,BRO
79879,PPG
80035,PLPC
80172,NPK
80420,POWL
80424,PG
80661,PGR
81362,KWR
82020,USLM
82166,RAVN
82811,RBC
84129,RAD
84246,RLI
84748,ROG
84839,ROL
85535,RGLD
85961,R
86115,SFE
86312,TRV
87347,SLB
88121,SEB
88205,SPXC
88790,IIN
88941,SMTC
88948,SENEA
89089,SCI
89439,MLI
89800,SHW
90498,SFNC
90896,SKY
91142,AOS
91419,SJM
