cik,companyname,entityid,marketoperator,markettier,primaryexchange,primarysymbol,siccode,sicdescription
20,K TRON INTERNATIONAL INC,6026,,,,,3823,"Industrial Instruments for Measurement, Display, and Control of "
1750,AAR CORP,8804,NYSE,NYSE,NYSE,AIR,3720,Aircraft And Parts
1800,ABBOTT LABORATORIES,5054,NYSE,NYSE,NYSE,ABT,2834,Pharmaceutical Preparations
1853,"MOTIVNATION, INC.",107223,,,,,3711,Motor Vehicles and Passenger Car Bodies
1923,"SERVIDYNE, INC.",181,,,,,1540,General Building Contractors-Nnonresidential
1961,WORLDS INC,868,OTC Markets,OTCQB,OTC,WDDD,7372,Services-Prepackaged Software
2034,ACETO CORP,3426,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,ACET,5122,"Wholesale-Drugs, Proprietaries and Druggists' Sundries"
2062,ACMAT CORP,4445,OTC Markets,OTC Pink Limited,OTC,ACMT,6351,Surety Insurance
2098,ACME UNITED CORP,3656,NYSE,NYSE MKT,NYSE MKT,ACU,3420,"Cutlery, Handtools and General Hardware"
2135,AFFILIATED COMPUTER SERVICES INC,1036,,,,,7374,Services-Computer Processing and Data Preparation
2178,"ADAMS RESOURCES & ENERGY, INC.",8589,NYSE,NYSE MKT,NYSE MKT,AE,5172,Wholesale-Petroleum and Petroleum Products (No Bulk Stations)
2186,RELM WIRELESS CORP,1381,NYSE,NYSE MKT,NYSE MKT,RWC,3663,Radio and Television Broadcasting and Communications Equipment
2488,ADVANCED MICRO DEVICES INC,10934,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,AMD,3674,Semiconductors and Related Devices
2491,"BALLY TECHNOLOGIES, INC.",10885,,,,,7372,Services-Prepackaged Software
2601,AEROFLEX INC,3296,,,,,3674,Semiconductors and Related Devices
2809,AGNICO EAGLE MINES LTD,5975,NYSE,NYSE,NYSE,AEM,1040,Gold And Silver Ores
2817,AGRI DYNAMICS INC,305688,OTC Markets,OTC Pink No Information,OTC,AGDY,3713,Truck and Bus Bodies
2969,AIR PRODUCTS & CHEMICALS INC /DE/,7570,NYSE,NYSE,NYSE,APD,2810,Industrial Inorganic Chemicals
3116,AKORN INC,3847,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,AKRX,2834,Pharmaceutical Preparations
3124,AKZO NOBEL NV,99843,OTC Markets,OTCQX International Premier,OTC,AKZOY,2800,Chemicals and Allied Products
3133,AMSOUTH BANCORPORATION,2127,,,,,6022,State Commercial Banks
3146,SPIRE ALABAMA INC,12129,,,,,4924,Natural Gas Distribution
3153,ALABAMA POWER CO,6295,OTC Markets,OTC Pink Current,OTC,ALPVN,4911,Electric Services
3197,CECO ENVIRONMENTAL CORP,11381,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,CECE,3564,Industrial and Commercial Fans and Blowers and Air Purification 
3202,ALASKA AIRLINES INC,14337,,,,,4512,"Air Transportation, Scheduled"
3270,ALASKA POWER & TELEPHONE CO,50778,OTC Markets,OTC Pink Limited,OTC,APTL,,
3333,ALBERTSONS INC /DE/,9168,,,,,5411,Retail-Grocery Stores
3370,IKON OFFICE SOLUTIONS INC,4410,,,,,5045,Wholesale-Computers and Peripheral Equipment and Software
3453,"MATSON, INC.",9371,NYSE,NYSE,NYSE,MATX,4400,Water transportation
3499,ALEXANDERS INC,11522,NYSE,NYSE,NYSE,ALX,6798,Real Estate Investment Trusts
3545,ALICO INC,8907,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,ALCO,100,Agricultural Production-Crops
3570,CHENIERE ENERGY INC,11013,NYSE,NYSE MKT,NYSE MKT,LNG,4924,Natural Gas Distribution
3673,"ALLEGHENY ENERGY, INC",11559,,,,,4911,Electric Services
3753,ALLEN ORGAN CO,11961,,,,,3931,Musical Instruments
3906,ALLIED CAPITAL CORP,6256,,,,,2200,Textile mill products
3941,ALLIED PRODUCTS CORP /DE/,6202,,,,,3523,Farm Machinery and Equipment
3952,ALLIED DEFENSE GROUP INC,4793,,,,,3480,"Ordnance and Accessories, (No Vehicles/Guided Missiles)"
3959,ITIS HOLDINGS INC,2619,,,,,2731,"Books: Publishing, or Publishing and Printing"
3982,ALLIS CHALMERS ENERGY INC.,10902,,,,,1389,"Oil and Gas Field Services, Not Elsewhere Classified"
4127,"SKYWORKS SOLUTIONS, INC.",9198,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,SWKS,3674,Semiconductors and Related Devices
4164,ALPINE GROUP INC /DE/,3419,OTC Markets,OTC Pink No Information,OTC,APNI,3357,Drawing and Insulating of Nonferrous Wire
4187,INDUSTRIAL SERVICES OF AMERICA INC,1988,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,IDSA,5090,Wholesale-Miscellaneous Durable Goods
4281,ARCONIC INC.,10803,NYSE,NYSE,NYSE,ARNC,3350,Rolling Drawing and Extruding of Nonferrous Metals
4285,ALCAN INC,8325,,,,,3330,Primary Smelting and Refining of Nonferrous Metals
4317,SENTO CORP,5349,,,,,7373,Services-Computer Integrated Systems Design
4344,BESTWAY INC,7019,,,,,7359,"Services-Equipment Rental and Leasing, Not Elsewhere Classified"
4447,HESS CORP,4416,NYSE,NYSE,NYSE,HES,2911,Petroleum Refining
4457,AMERCO /NV/,11171,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,UHAL,7510,Services-Auto Rental and Leasing (No Drivers)
4515,AMERICAN AIRLINES INC,17418,,,,,4512,"Air Transportation, Scheduled"
4611,AMERICAN BILTRITE INC,10374,OTC Markets,OTC Pink Limited,OTC,ABLT,3089,"Plastics Products, Not Elsewhere Classified"
4811,AMERICAN CONSUMERS INC,22152,OTC Markets,OTC Pink No Information,OTC,ANCSQ,5411,Retail-Grocery Stores
4828,AMERICAN CRYSTAL SUGAR CO /MN/,31120,OTC,Grey Market,OTC,ASCS,2060,Sugar And Confectionery Products
4904,AMERICAN ELECTRIC POWER CO INC,2135,NYSE,NYSE,NYSE,AEP,4911,Electric Services
4962,AMERICAN EXPRESS CO,8450,NYSE,NYSE,NYSE,AXP,6199,Finance Services
4969,AMERICAN EXPRESS CREDIT CORP,17276,,,,,6153,Short-Term Business Credit Institutions
4977,AFLAC INC,1814,NYSE,NYSE,NYSE,AFL,6321,Accident and Health Insurance
5117,EMTEC INC/NJ,390,OTC Markets,OTC Pink No Information,OTC,ETEC,7389,"Services-Business Services, Not Elsewhere Classified"
5133,AMERICAN GREETINGS CORP,6175,,,,,2771,Greeting Cards
5187,WYETH,9752,,,,,2834,Pharmaceutical Preparations
5272,AMERICAN INTERNATIONAL GROUP INC,1878,NYSE,NYSE,NYSE,AIG,6331,"Fire, Marine and Casualty Insurance"
5337,HADERA PAPER LTD,11174,OTC Markets,OTC Pink Current,OTC,HAIPF,2621,Paper Mills
5513,UNUM GROUP,3309,NYSE,NYSE,NYSE,UNM,6321,Accident and Health Insurance
5656,AMERICAN INTERNATIONAL VENTURES INC /DE/,68822,OTC Markets,OTC Pink Current,OTC,AIVN,1040,Gold And Silver Ores
5768,"AMERICAN SCIENCE & ENGINEERING, INC.",9591,,,,,3844,X-Ray Apparatus and Tubes and Related Irradiation Apparatus
5907,AT&T CORP,10118,,,,,4813,Telephone Communications (No Radiotelephone)
5981,AMERICAN VANGUARD CORP,5024,NYSE,NYSE,NYSE,AVD,2870,Agricultural Chemicals
6176,AMPCO PITTSBURGH CORP,10196,NYSE,NYSE,NYSE,AP,3561,Pumps and Pumping Equipment
