year,Company,CIK,Revenue,NetIncomeLoss,Payments to acquire property
2018,AAPL,320193,265595000000.0,59531000000.0,-13313000000.0
2018,MSFT,789019,Income statement not found,cash flow not found,cash flow not found
2018,AMZN,1018724,0,10073000000.0,-13427000000.0
2018,FB,1326801,0,22112000000.0,-13915000000.0
2018,GOOGL,1652044,0,30736000000.0,-25139000000.0
2018,JPM,19617,0,32474000000.0,tag not found
2018,JNJ,200406,Income statement not found,15297000000.0,-3670000000.0
2018,V,1403161,20609000000.0,0,-718000000.0
2018,PG,80424,Income statement not found,0,-3717000000.0
2018,INTC,50863,0,21053000000.0,-15181000000.0
2018,MA,1141391,Income statement not found,cash flow not found,cash flow not found
2018,BAC,70858,Income statement not found,cash flow not found,cash flow not found
2018,UNH,731766,226247000000.0,0,-2063000000.0
2018,T,732717,170756000000.0,0,-20758000000.0
2018,XOM,34088,Income statement not found,cash flow not found,cash flow not found
2018,HD,354950,Income statement not found,11121000000.0,-2442000000.0
2018,DIS,1001039,59434000000.0,0,-4465000000.0
2018,VZ,732712,130863000000.0,0,-16658000000.0
2018,KO,21344,31856000000.0,0,-1347000000.0
2018,MRK,310158,Income statement not found,cash flow not found,cash flow not found
2018,PFE,78003,0,0,-2042000000.0
2018,CVX,93410,Income statement not found,cash flow not found,cash flow not found
2018,CSCO,858877,49330000000.0,110000000.0,-834000000.0
2018,PEP,77476,Income statement not found,cash flow not found,cash flow not found
2018,CMCSA,1166691,Income statement not found,cash flow not found,cash flow not found
2018,WFC,72971,Income statement not found,cash flow not found,cash flow not found
2018,ADBE,796343,9030008000.0,2590774000.0,-266579000.0
2018,BA,12927,28341000000.0,2590774000.0,-266579000.0
2018,C,831001,Income statement not found,cash flow not found,cash flow not found
2018,WMT,104169,514405000000.0,0,-10344000000.0
2018,MDT,1613103,29953000000.0,0,-1068000000.0
2018,MCD,63908,Income statement not found,cash flow not found,cash flow not found
2018,NFLX,1065280,15794341000.0,1211242000.0,-173946000.0
2018,ABT,1800,0,cash flow not found,cash flow not found
2018,CRM,1108524,0,1110000000.0,-595000000.0
2018,BMY,14272,Income statement not found,0,-951000000.0
2018,NVDA,1045810,0,4141000000.0,tag not found
2018,PYPL,1633917,0,2057000000.0,-823000000.0
2018,AMGN,318154,23747000000.0,8394000000.0,-738000000.0
2018,IBM,51143,79591000000.0,cash flow not found,cash flow not found
2018,COST,909832,79591000000.0,cash flow not found,cash flow not found
2018,ACN,1467373,Income statement not found,cash flow not found,cash flow not found
2018,TMO,97745,Income statement not found,cash flow not found,cash flow not found
2018,PM,1413329,Income statement not found,0,-1436000000.0
2018,NEE,753308,0,0,tag not found
2018,UNP,100885,22832000000.0,5966000000.0,-3437000000.0
2018,ABBV,1551152,Income statement not found,5687000000.0,-638000000.0
2018,HON,773840,Income statement not found,cash flow not found,cash flow not found
2018,UTX,101829,Income statement not found,cash flow not found,cash flow not found
2018,LLY,59478,24555700000.0,3232000000.0,tag not found
2018,TXN,97476,0,5580000000.0,-1131000000.0
2018,NKE,320187,0,5580000000.0,-1131000000.0
2018,AVGO,1649338,0,5580000000.0,-1131000000.0
2018,ORCL,1341439,0,5580000000.0,-1131000000.0
2018,GE,40545,Income statement not found,cash flow not found,cash flow not found
2018,LMT,936468,Income statement not found,5046000000.0,-1278000000.0
2018,TSLA,1318605,21461268000.0,0,-2100724000.0
2018,QCOM,804328,22732000000.0,0,-784000000.0
2018,AMT,1053507,7440100000.0,0,-913200000.0
2018,SBUX,829224,Income statement not found,0,-913200000.0
2018,DHR,313616,Income statement not found,2650900000.0,-655700000.0
2018,LOW,60667,Income statement not found,0,-1123000000.0
2018,CVS,64803,194579000000.0,0,-2037000000.0
2018,MMM,66740,Income statement not found,cash flow not found,cash flow not found
2018,AXP,4962,0,6921000000.0,-1310000000.0
2018,FIS,1136893,Income statement not found,6921000000.0,-1310000000.0
2018,MO,764180,Income statement not found,0,-238000000.0
2018,GILD,882095,0,0,-924000000.0
2018,MDLZ,1103982,Income statement not found,0,-1095000000.0
2018,CHTR,1091667,11231000000.0,0,-9125000000.0
2018,USB,36104,Income statement not found,cash flow not found,cash flow not found
2018,GS,886982,Income statement not found,0,-7982000000.0
2018,ADP,8670,Income statement not found,cash flow not found,cash flow not found
2018,BDX,10795,15983000000.0,311000000.0,-895000000.0
2018,CI,701221,41616000000.0,0,-471000000.0
2018,CME,1156375,4309400000.0,0,-116700000.0
2018,TJX,109198,35864664000.0,2607948000.0,-1057617000.0
2018,SYK,310764,Income statement not found,3553000000.0,-572000000.0
2018,CB,896159,Income statement not found,3962000000.0,tag not found
2018,UPS,1090727,Income statement not found,cash flow not found,cash flow not found
2018,CAT,18230,Income statement not found,cash flow not found,cash flow not found
2018,ANTM,1156039,92105000000.0,3750000000.0,-1208000000.0
2018,SPGI,64040,0,0,-113000000.0
2018,INTU,896878,5964000000.0,1211000000.0,-38000000.0
2018,SO,92122,0,1211000000.0,-38000000.0
2018,DUK,1326160,0,54000000.0,-113000000.0
2018,D,715957,13366000000.0,2447000000.0,-4254000000.0
2018,FISV,798354,5823000000.0,1187000000.0,-360000000.0
2018,PLD,1045609,2804449000.0,0,tag not found
2018,PNC,713676,Income statement not found,cash flow not found,cash flow not found
2018,ISRG,1035267,0,0,-187400000.0
2018,ZTS,1555280,5825000000.0,0,-187400000.0
2018,COP,1163165,Income statement not found,cash flow not found,cash flow not found
2018,BLK,1364742,0,0,-204000000.0
2018,MS,895421,Income statement not found,cash flow not found,cash flow not found
2018,CL,21665,0,0,-436000000.0
2018,RTN,1047122,27058000000.0,0,-436000000.0
2018,NOW,1373715,Income statement not found,-26704000.0,-224462000.0
2018,AGN,1578845,0,-26704000.0,-224462000.0
2018,MU,723125,30391000000.0,0,-8879000000.0
2018,CCI,1051470,Income statement not found,cash flow not found,cash flow not found
2018,VRTX,875320,0,0,-95524000.0
2018,BIIB,875045,13452900000.0,0,-58200000.0
2018,GPN,1123360,13452900000.0,0,-58200000.0
2018,ITW,49826,14768000000.0,cash flow not found,cash flow not found
2018,BSX,885725,9048000000.0,cash flow not found,cash flow not found
2018,MMC,62709,0,0,-314000000.0
2018,AMAT,6951,17253000000.0,3313000000.0,-622000000.0
2018,CSX,277948,Income statement not found,cash flow not found,cash flow not found
2018,NOC,1133421,Income statement not found,3229000000.0,-1249000000.0
2018,TGT,27419,Income statement not found,0,-3516000000.0
2018,NSC,702165,0,0,-1951000000.0
2018,SCHW,316709,10132000000.0,3507000000.0,-570000000.0
2018,APD,2969,Income statement not found,1497800000.0,-1568400000.0
2018,AON,315293,2770000000.0,0,-240000000.0
2018,DE,315189,Income statement not found,cash flow not found,cash flow not found
2018,WM,823768,0,0,-1694000000.0
2018,ECL,31462,Income statement not found,cash flow not found,cash flow not found
2018,AMD,2488,0,337000000.0,-163000000.0
2018,EQIX,1101239,5071654000.0,365359000.0,tag not found
2018,ICE,1571949,0,0,-134000000.0
2018,AEP,4904,16195700000.0,0,-14600000.0
2018,KMB,55785,Income statement not found,cash flow not found,cash flow not found
2018,COF,927628,0,6015000000.0,-874000000.0
2018,SLB,87347,Income statement not found,cash flow not found,cash flow not found
2018,PGR,80661,Income statement not found,0,-266000000.0
2018,SHW,89800,Income statement not found,cash flow not found,cash flow not found
2018,HUM,49071,14168000000.0,1683000000.0,-612000000.0
2018,EW,1099800,0,0,-238700000.0
2018,LRCX,707549,11076998000.0,0,-238700000.0
2018,EXC,1109357,Income statement not found,0,-7594000000.0
2018,GD,40533,0,cash flow not found,cash flow not found
2018,EMR,32604,Income statement not found,0,-617000000.0
2018,AIG,5272,47389000000.0,0,-617000000.0
2018,SRE,1032208,47389000000.0,0,-617000000.0
2018,EOG,821189,Income statement not found,3419040000.0,tag not found
2018,ATVI,718877,0,1813000000.0,-131000000.0
2018,ADSK,769397,0,-80800000.0,tag not found
2018,BAX,10456,0,-80800000.0,tag not found
2018,ILMN,1110803,0,0,-296000000.0
2018,EL,1001250,Income statement not found,0,-629000000.0
2018,GM,1467858,Income statement not found,0,-8761000000.0
2018,MCO,1059556,0,0,-90400000.0
2018,SPG,1063761,Income statement not found,0,-781909000.0
2018,ADI,6281,6200942000.0,1495432000.0,-254876000.0
2018,ETN,1551182,0,0,-565000000.0
2018,ROST,745732,Income statement not found,1362753000.0,-371423000.0
2018,PSX,1534701,Income statement not found,cash flow not found,cash flow not found
2018,KMI,1506307,14144000000.0,0,-2904000000.0
2018,DG,29534,0,0,-734380000.0
2018,HCA,860730,Income statement not found,0,-3573000000.0
2018,MAR,1048286,5289000000.0,1907000000.0,-556000000.0
2018,ALL,899051,39815000000.0,2252000000.0,-277000000.0
2018,DD,30554,7053000000.0,0,-426000000.0
2018,MET,1099219,67941000000.0,0,-426000000.0
2018,WBA,1618921,Income statement not found,0,-426000000.0
2018,ROP,882835,Income statement not found,944400000.0,-49100000.0
2018,PRU,1137774,62992000000.0,944400000.0,-49100000.0
2018,AFL,4977,Income statement not found,2920000000.0,tag not found
2018,BK,1390777,Income statement not found,cash flow not found,cash flow not found
2018,CNC,1071739,60116000000.0,0,-675000000.0
2018,OXY,797468,0,0,-4975000000.0
2018,XEL,72903,11537000000.0,1261000000.0,-3957000000.0
2018,NEM,1164727,0,0,-1032000000.0
2018,FDX,1048911,0,0,-1032000000.0
2018,SYY,96021,Income statement not found,cash flow not found,cash flow not found
2018,CTSH,1058290,16125000000.0,2101000000.0,-377000000.0
2018,MPC,1510295,0,0,-3578000000.0
2018,TRV,86312,Income statement not found,cash flow not found,cash flow not found
2018,VLO,1035002,0,0,-124000000.0
2018,IR,1466258,Income statement not found,0,-365600000.0
2018,DAL,27904,0,3935000000.0,tag not found
2018,PSA,1393311,Income statement not found,cash flow not found,cash flow not found
2018,F,37996,Income statement not found,cash flow not found,cash flow not found
2018,ZBH,1136869,Income statement not found,0,-162700000.0
2018,YUM,1041061,1558000000.0,1542000000.0,-234000000.0
2018,HPQ,47217,Income statement not found,5327000000.0,-546000000.0
2018,INFO,1598014,4009200000.0,0,-222700000.0
2018,WEC,783325,Income statement not found,0,61400000.0
2018,HLT,1585689,Income statement not found,0,-72000000.0
2018,GIS,40704,Income statement not found,0,-72000000.0
2018,TROW,1113169,0,0,-168500000.0
2018,EA,712515,5150000000.0,1043000000.0,tag not found
2018,OKE,1039684,12593196000.0,0,-2141475000.0
2018,STZ,16918,12593196000.0,0,-2141475000.0
2018,ORLY,898173,0,1324487000.0,-504268000.0
