year,Company,CIK,Revenue,NetIncomeLoss,Payments to acquire property
2012,AAPL,320193,156508.0,41733.0,-8295.0
2012,MSFT,789019,Income statement not found,cash flow not found,cash flow not found
2012,AMZN,1018724,61093.0,-39.0,-3785.0
2012,FB,1326801,5089.0,53.0,-1235.0
2012,GOOGL,1652044,5089.0,53.0,-1235.0
2012,JPM,19617,97031.0,21284.0,tag not found
2012,JNJ,200406,Income statement not found,0,-2934.0
2012,V,1403161,10421.0,0,-376.0
2012,PG,80424,Income statement not found,0,-3964.0
2012,INTC,50863,53341.0,11005.0,-11027.0
2012,MA,1141391,Income statement not found,cash flow not found,cash flow not found
2012,BAC,70858,Income statement not found,cash flow not found,cash flow not found
2012,UNH,731766,110618.0,5526.0,-1070.0
2012,T,732717,127434.0,0,-19465.0
2012,XOM,34088,Income statement not found,cash flow not found,cash flow not found
2012,HD,354950,Income statement not found,4535.0,-1312.0
2012,DIS,1001039,10782.0,0,-3784.0
2012,VZ,732712,115846.0,0,-16175.0
2012,KO,21344,0,0,-2780.0
2012,MRK,310158,Income statement not found,cash flow not found,cash flow not found
2012,PFE,78003,58986.0,0,-1327.0
2012,CVX,93410,Income statement not found,cash flow not found,cash flow not found
2012,CSCO,858877,46061.0,8041.0,-1126.0
2012,PEP,77476,Income statement not found,cash flow not found,cash flow not found
2012,CMCSA,1166691,Income statement not found,cash flow not found,cash flow not found
2012,WFC,72971,Income statement not found,cash flow not found,cash flow not found
2012,ADBE,796343,4403677.0,832775.0,-271076.0
2012,BA,12927,68735.0,4018.0,-1713.0
2012,C,831001,Income statement not found,cash flow not found,cash flow not found
2012,WMT,104169,Income statement not found,cash flow not found,cash flow not found
2012,MDT,1613103,Income statement not found,cash flow not found,cash flow not found
2012,MCD,63908,Income statement not found,cash flow not found,cash flow not found
2012,NFLX,1065280,3609282.0,17152.0,-41457.0
2012,ABT,1800,39873910.0,cash flow not found,cash flow not found
2012,CRM,1108524,3050195.0,0,-175601.0
2012,BMY,14272,Income statement not found,0,-548.0
2012,NVDA,1045810,4280159.0,562536.0,tag not found
2012,PYPL,1633917,4280159.0,562536.0,tag not found
2012,AMGN,318154,17265.0,4345.0,-689.0
2012,IBM,51143,104507.0,cash flow not found,cash flow not found
2012,COST,909832,104507.0,0,-1480.0
2012,ACN,1467373,Income statement not found,cash flow not found,cash flow not found
2012,TMO,97745,Income statement not found,cash flow not found,cash flow not found
2012,PM,1413329,Income statement not found,0,-1056.0
2012,NEE,753308,0,0,-1056.0
2012,UNP,100885,20926.0,3943.0,-3738.0
2012,ABBV,1551152,Income statement not found,cash flow not found,cash flow not found
2012,HON,773840,Income statement not found,cash flow not found,cash flow not found
2012,UTX,101829,Income statement not found,cash flow not found,cash flow not found
2012,LLY,59478,22603.4,4088.6,tag not found
2012,TXN,97476,12825.0,1759.0,-495.0
2012,NKE,320187,12825.0,1759.0,-495.0
2012,AVGO,1649338,12825.0,1759.0,-495.0
2012,ORCL,1341439,12825.0,1759.0,-495.0
2012,GE,40545,Income statement not found,cash flow not found,cash flow not found
2012,LMT,936468,Income statement not found,2745.0,-942.0
2012,TSLA,1318605,413256.0,-396213.0,-239228.0
2012,QCOM,804328,19121.0,0,-1284.0
2012,AMT,1053507,2875960.0,0,-568048.0
2012,SBUX,829224,Income statement not found,0,-856.2
2012,DHR,313616,Income statement not found,2392.2,-458.3
2012,LOW,60667,Income statement not found,0,-1829.0
2012,CVS,64803,123133.0,0,-2030.0
2012,MMM,66740,Income statement not found,cash flow not found,cash flow not found
2012,AXP,4962,0,4482.0,-1053.0
2012,FIS,1136893,Income statement not found,0,-123.7
2012,MO,764180,Income statement not found,0,-124.0
2012,GILD,882095,9702517.0,cash flow not found,cash flow not found
2012,MDLZ,1103982,Income statement not found,0,-1610.0
2012,CHTR,1091667,Income statement not found,0,-1745.0
2012,USB,36104,Income statement not found,cash flow not found,cash flow not found
2012,GS,886982,Income statement not found,7475.0,tag not found
2012,ADP,8670,Income statement not found,cash flow not found,cash flow not found
2012,BDX,10795,7708382.0,0,-487430.0
2012,CI,701221,29119.0,0,-408.0
2012,CME,1156375,2914.6,0,-141.8
2012,TJX,109198,23191455.0,0,-803330.0
2012,SYK,310764,Income statement not found,1298.0,-210.0
2012,CB,896159,Income statement not found,2706.0,tag not found
2012,UPS,1090727,Income statement not found,cash flow not found,cash flow not found
2012,CAT,18230,Income statement not found,cash flow not found,cash flow not found
2012,ANTM,1156039,61711.7,2655.5,-544.9
2012,SPGI,64040,4450.0,0,-97.0
2012,INTU,896878,4151.0,792.0,-135.0
2012,SO,92122,16537000000.0,792.0,-135.0
2012,DUK,1326160,19624.0,0,-5501.0
2012,D,715957,13093.0,0,-5501.0
2012,FISV,798354,4482.0,611.0,-195.0
2012,PLD,1045609,0,0,tag not found
2012,PNC,713676,Income statement not found,cash flow not found,cash flow not found
2012,ISRG,1035267,2178.8,656.6,-141.8
2012,ZTS,1555280,Income statement not found,cash flow not found,cash flow not found
2012,COP,1163165,Income statement not found,cash flow not found,cash flow not found
2012,BLK,1364742,0,0,-150.0
2012,MS,895421,26112.0,0,tag not found
2012,CL,21665,17085.0,0,-565.0
2012,RTN,1047122,24414.0,0,-339.0
2012,NOW,1373715,Income statement not found,-6684.0,-7959.0
2012,AGN,1578845,Income statement not found,-6684.0,-7959.0
2012,MU,723125,8234.0,0,-1699.0
2012,CCI,1051470,Income statement not found,cash flow not found,cash flow not found
2012,VRTX,875320,333994.0,0,-71140.0
2012,BIIB,875045,5516461.0,0,-254548.0
2012,GPN,1123360,5516461.0,0,-254548.0
2012,ITW,49826,17924.0,cash flow not found,cash flow not found
2012,BSX,885725,7249.0,0,-226.0
2012,MMC,62709,0,0,-320.0
2012,AMAT,6951,8719.0,109.0,-162.0
2012,CSX,277948,Income statement not found,cash flow not found,cash flow not found
2012,NOC,1133421,Income statement not found,0,-331.0
2012,TGT,27419,22726.0,0,-3277.0
2012,NSC,702165,11040.0,0,-2241.0
2012,SCHW,316709,4883.0,928.0,-148.0
2012,APD,2969,Income statement not found,1167.3,-1521.0
2012,AON,315293,11514.0,0,-269.0
2012,DE,315189,Income statement not found,cash flow not found,cash flow not found
2012,WM,823768,13649.0,0,-1510.0
2012,ECL,31462,Income statement not found,cash flow not found,cash flow not found
2012,AMD,2488,5422.0,-1183.0,-133.0
2012,EQIX,1101239,1895744.0,0,-24656.0
2012,ICE,1571949,1895744.0,0,-24656.0
2012,AEP,4904,1895744.0,0,-24656.0
2012,KMB,55785,Income statement not found,cash flow not found,cash flow not found
2012,COF,927628,0,3517.0,-560.0
2012,SLB,87347,Income statement not found,cash flow not found,cash flow not found
2012,PGR,80661,Income statement not found,902.3,-127.7
2012,SHW,89800,Income statement not found,cash flow not found,cash flow not found
2012,HUM,49071,9557.0,1222.0,-410.0
2012,EW,1099800,1899.6,0,-120.7
2012,LRCX,707549,2665192.0,168723.0,-107272.0
2012,EXC,1109357,Income statement not found,cash flow not found,cash flow not found
2012,GD,40533,Income statement not found,-332.0,-450.0
2012,EMR,32604,Income statement not found,0,-665.0
2012,AIG,5272,Income statement not found,cash flow not found,cash flow not found
2012,SRE,1032208,0,0,-2956.0
2012,EOG,821189,Income statement not found,570279.0,tag not found
2012,ATVI,718877,4856.0,1149.0,-73.0
2012,ADSK,769397,2312.2,247.4,tag not found
2012,BAX,10456,2312.2,247.4,tag not found
2012,ILMN,1110803,1148516.0,151254.0,-68781.0
2012,EL,1001250,Income statement not found,0,-420.7
2012,GM,1467858,Income statement not found,0,-8068.0
2012,MCO,1059556,2730.3,0,-45.0
2012,SPG,1063761,Income statement not found,0,tag not found
2012,ADI,6281,2701142.0,651236.0,-132176.0
2012,ETN,1551182,16311.0,0,-593.0
2012,ROST,745732,Income statement not found,657170.0,-416271.0
2012,PSX,1534701,Income statement not found,cash flow not found,cash flow not found
2012,KMI,1506307,9973000000.0,cash flow not found,cash flow not found
2012,DG,29534,9973000000.0,0,-571596.0
2012,HCA,860730,Income statement not found,0,-1862.0
2012,MAR,1048286,11814.0,571.0,-437.0
2012,ALL,899051,33315.0,2306.0,-285.0
2012,DD,30554,Income statement not found,0,-1793.0
2012,MET,1099219,68150.0,0,tag not found
2012,WBA,1618921,68150.0,0,tag not found
2012,ROP,882835,Income statement not found,483360.0,-38405.0
2012,PRU,1137774,84815.0,0,tag not found
2012,AFL,4977,Income statement not found,2866.0,tag not found
2012,BK,1390777,Income statement not found,cash flow not found,cash flow not found
2012,CNC,1071739,8667612.0,0,-82144.0
2012,OXY,797468,24172.0,0,-10226.0
2012,XEL,72903,10128223.0,905229.0,-2570209.0
2012,NEM,1164727,Income statement not found,cash flow not found,cash flow not found
2012,FDX,1048911,Income statement not found,cash flow not found,cash flow not found
2012,SYY,96021,Income statement not found,cash flow not found,cash flow not found
2012,CTSH,1058290,7346472.0,1051263.0,-334465.0
2012,MPC,1510295,0,0,-1369.0
2012,TRV,86312,Income statement not found,cash flow not found,cash flow not found
2012,VLO,1035002,0,0,-2931.0
2012,IR,1466258,Income statement not found,0,-262.6
2012,DAL,27904,36670.0,1009.0,tag not found
2012,PSA,1393311,Income statement not found,cash flow not found,cash flow not found
2012,F,37996,Income statement not found,cash flow not found,cash flow not found
2012,ZBH,1136869,0,0,-114.7
2012,YUM,1041061,13633.0,0,-1099.0
2012,HPQ,47217,Income statement not found,0,-3706.0
2012,INFO,1598014,Income statement not found,0,-3706.0
2012,WEC,783325,Income statement not found,546.3,-707.0
2012,HLT,1585689,Income statement not found,546.3,-707.0
2012,GIS,40704,Income statement not found,546.3,-707.0
2012,TROW,1113169,0,883.6,-76.9
2012,EA,712515,4143.0,76.0,tag not found
2012,OKE,1039684,12632559.0,0,-1866153.0
2012,STZ,16918,12632559.0,445.0,-68.4
2012,ORLY,898173,6182184.0,585746.0,-300719.0
2012,ED,1047862,Income statement not found,cash flow not found,cash flow not found
2012,JCI,833444,10403.0,472.0,-406.0
2012,TDG,1260221,1700208.0,324969.0,-25246.0
2012,WDAY,1327811,0,0,-65.0
2012,APH,820313,0,cash flow not found,cash flow not found
2012,EQR,906107,2123715000.0,0,tag not found
2012,REGN,872589,Income statement not found,750269.0,-49337.0
2012,AVB,915912,Income statement not found,0,-3076.0
2012,MSI,68505,8698.0,881.0,-187.0
2012,PEG,788784,9781.0,1275.0,-2574.0
2012,PPG,79879,Income statement not found,cash flow not found,cash flow not found
2012,ES,72741,6273787.0,cash flow not found,cash flow not found
2012,STT,93751,Income statement not found,cash flow not found,cash flow not found
2012,LULU,1397187,Income statement not found,270556.0,-93229.0
2012,EBAY,1065088,Income statement not found,cash flow not found,cash flow not found
2012,SBAC,1034054,954084.0,0,-113265.0
2012,WLTW,1140536,3480.0,0,-135.0
2012,PAYX,723531,3480.0,0,-135.0
2012,FE,1031296,Income statement not found,cash flow not found,cash flow not found
2012,FLT,1175454,707534.0,cash flow not found,cash flow not found
2012,MCK,927653,122734.0,1403.0,-225.0
2012,KLAC,319201,3171944.0,756015.0,-57596.0
2012,EIX,827052,11862.0,0,-4149.0
2012,PH,76334,Income statement not found,cash flow not found,cash flow not found
2012,LUV,92380,Income statement not found,cash flow not found,cash flow not found
2012,SQ,1512673,Income statement not found,cash flow not found,cash flow not found
2012,VRSK,1442145,0,329142.0,-74373.0
2012,PCAR,75362,17050.5,1111.6,-515.4
2012,A,1090872,Income statement not found,cash flow not found,cash flow not found
2012,MNST,865752,0,0,-42935.0
2012,PPL,922224,0,0,-42935.0
2012,WMB,107263,Income statement not found,cash flow not found,cash flow not found
2012,VFC,103379,10879855.0,0,tag not found
2012,ETR,65984,0,0,tag not found
2012,DLR,1297996,Income statement not found,0,tag not found
2012,ADM,7084,Income statement not found,0,-1477.0
2012,TMUS,1283699,Income statement not found,394172.0,-845850.0
2012,O,726728,0,159152.0,tag not found
2012,AZO,866787,8603863.0,930373.0,-378054.0
2012,SWK,93556,10190.5,883.8,-386.0
2012,TWTR,1418091,10190.5,883.8,-386.0
2012,SPLK,1353283,10190.5,883.8,-386.0
2012,MCHP,827054,1383176000.0,336705.0,-44398.0
2012,CMI,26172,17334.0,0,-690.0
2012,DTE,936340,8791.0,0,tag not found
2012,BLL,9389,Income statement not found,0,-305.0
2012,CERN,804753,2665436.0,397232.0,-183429.0
2012,AWK,1410636,Income statement not found,358070.0,-928574.0
2012,CTAS,723254,Income statement not found,358070.0,-928574.0
2012,MSCI,1408198,72524.0,13824.0,-1811.0
2012,DFS,1393612,0,2345.0,-144.0
2012,TSN,100493,33278.0,0,-690.0
2012,CSGP,1057352,349936.0,9915.0,-14834.0
2012,RMD,943819,1368515.0,254850.0,-47135.0
2012,ANSS,1013462,798018.0,203483.0,-23977.0
2012,ROK,1024478,Income statement not found,cash flow not found,cash flow not found
2012,PXD,1038357,0,0,tag not found
2012,IDXX,874716,1293338.0,0,tag not found
2012,LVS,1300514,11131132.0,0,-1449234.0
2012,SNPS,883241,1756017.0,0,-54191.0
2012,FTV,1659166,1756017.0,0,-54191.0
2012,PANW,1327567,Income statement not found,cash flow not found,cash flow not found
2012,MTB,36270,Income statement not found,cash flow not found,cash flow not found
2012,AME,1037868,Income statement not found,cash flow not found,cash flow not found
2012,XLNX,743988,2240736.0,530079.0,-70071.0
2012,BXP,1037540,1876267.0,0,tag not found
2012,LYB,1489393,1876267.0,0,tag not found
2012,KR,56873,1876267.0,0,-1898.0
2012,AMP,820027,10259.0,0,-137.0
2012,ALXN,899866,0,cash flow not found,cash flow not found
2012,HSY,47111,6644252.0,0,-258727.0
2012,VRSN,1014473,Income statement not found,0,-53023.0
2012,CMG,1058090,Income statement not found,cash flow not found,cash flow not found
2012,VTR,740260,2485299.0,0,-69430.0
2012,DXCM,1093557,99.9,-54.5,-9.5
2012,SYF,1601712,99.9,-54.5,-9.5
2012,FAST,815556,Income statement not found,420536.0,-138406.0
2012,WY,106535,Income statement not found,cash flow not found,cash flow not found
2012,GLW,24741,0,1728.0,tag not found
2012,FITB,35527,0,0,-362.0
2012,HIG,874766,26412.0,0,tag not found
