year,Company,CIK,Revenue,NetIncomeLoss,Payments to acquire property
2016,AAXN,1069183,Income statement not found,17297000.0,-4957000.0
2016,AIR,1750,Income statement not found,17297000.0,-4957000.0
2016,AJRD,40888,0,7000000.0,-1200000.0
2016,ARNC,4281,Income statement not found,cash flow not found,cash flow not found
2016,ATRO,8063,0,48424000.0,-13037000.0
2016,AVAV,1368622,264098000.0,0,-6829000.0
2016,BA,12927,94571000000.0,4895000000.0,-2613000000.0
2016,BWXT,1486957,1550573000.0,0,-52634000.0
2016,CUB,26076,Income statement not found,0,-32093000.0
2016,CW,26324,Income statement not found,187329000.0,-46776000.0
2016,DCO,30305,550642000.0,25261000.0,-17001000.0
2016,GD,40533,Income statement not found,2955000000.0,-392000000.0
2016,HEI,46619,1376258000.0,0,-30863000.0
2016,HII,1501585,Income statement not found,573000000.0,-285000000.0
2016,HXL,717605,0,573000000.0,-285000000.0
2016,KTOS,1069258,Income statement not found,573000000.0,-285000000.0
2016,LMT,936468,Income statement not found,5302000000.0,-1063000000.0
2016,MRCY,1049521,Income statement not found,19742000.0,-7885000.0
2016,NOC,1133421,Income statement not found,2200000000.0,-920000000.0
2016,NPK,80172,Income statement not found,2200000000.0,-920000000.0
2016,PKE,76267,145855000.0,2200000000.0,-920000000.0
2016,RTN,1047122,24069000000.0,2200000000.0,-920000000.0
2016,SPR,1364885,1570000000.0,469700000.0,-254000000.0
2016,TDG,1260221,3171411000.0,586414000.0,-43982000.0
2016,TDY,1094285,552900000.0,0,-87600000.0
2016,TGI,1021162,3886072000.0,0,tag not found
2016,TXT,217346,13788000000.0,962000000.0,-446000000.0
2016,UTX,101829,Income statement not found,cash flow not found,cash flow not found
2016,VEC,1601548,Income statement not found,cash flow not found,cash flow not found
2016,AAWW,1135185,1839627000.0,cash flow not found,cash flow not found
2016,ATSG,894081,768870000.0,0,-264477000.0
2016,CHRW,1043277,Income statement not found,513384000.0,-73452000.0
2016,ECHO,1426945,Income statement not found,513384000.0,-73452000.0
2016,EXPD,746515,Income statement not found,0,-59316000.0
2016,FDX,1048911,Income statement not found,0,-59316000.0
2016,FWRD,912728,Income statement not found,27670000.0,-42186000.0
2016,HUBG,940942,Income statement not found,74805000.0,-107409000.0
2016,RLGT,1171155,Income statement not found,74805000.0,-107409000.0
2016,UPS,1090727,Income statement not found,cash flow not found,cash flow not found
2016,XPO,1166003,14619400000.0,0,-483400000.0
2016,AAL,6201,40180000000.0,2676000000.0,-5731000000.0
2016,ALGT,1362468,1362831000.0,0,-199743000.0
2016,ALK,766421,5931000000.0,814000000.0,-678000000.0
2016,CPA,1345105,5931000000.0,814000000.0,-678000000.0
2016,DAL,27904,39639000000.0,4373000000.0,tag not found
2016,HA,1172222,2450580000.0,0,-178838000.0
2016,JBLU,1158463,0,759000000.0,-850000000.0
2016,LUV,92380,Income statement not found,cash flow not found,cash flow not found
2016,SAVE,1498710,Income statement not found,cash flow not found,cash flow not found
