year,Company,CIK,NetIncomeLoss
2017,AAPL,320193,48351000000
2017,AMZN,1018724,3033000000
2017,FB,1326801,15934000000
2017,GOOGL,1652044,12662000000
2017,JPM,19617,24441000000
2017,JNJ,200406,1300000000
2017,INTC,50863,9601000000
2017,HD,354950,8630000000
2017,CSCO,858877,9609000000
2017,ADBE,796343,1693954000
2017,BA,12927,8197000000
2017,NFLX,1065280,558929000
2017,CRM,1108524,127478000
2017,NVDA,1045810,3047000000
2017,PYPL,1633917,1795000000
2017,AMGN,318154,1979000000
2017,NEE,753308,5378000000
2017,UNP,100885,10712000000
2017,LLY,59478,-204100000
2017,TXN,97476,3682000000
2017,LMT,936468,2002000000
2017,DHR,313616,2492100000
2017,AXP,4962,2736000000
2017,GS,886982,4286000000
2017,TJX,109198,2298234000
2017,SYK,310764,1020000000
2017,CB,896159,3861000000
2017,ANTM,1156039,3842800000
2017,INTU,896878,971000000
2017,DUK,1326160,54000000
2017,D,715957,2999000000
2017,ISRG,1035267,660000000
2017,NOW,1373715,-149130000
2017,AMAT,6951,3434000000
2017,NOC,1133421,2015000000
2017,SCHW,316709,2354000000
2017,APD,2969,3000400000
2017,AMD,2488,43000000
2017,EQIX,1101239,232982000
2017,COF,927628,1982000000
2017,HUM,49071,2448000000
2017,GD,40533,2912000000
2017,EOG,821189,2582579000
2017,ATVI,718877,273000000
2017,ADSK,769397,-566900000
2017,BAX,10456,4965000000
2017,ADI,6281,727259000
2017,ROST,745732,1117654000
2017,MAR,1048286,1372000000
2017,ALL,899051,3189000000
2017,ROP,882835,971772000
2017,AFL,4977,4604000000
2017,XEL,72903,1148000000
2017,CTSH,1058290,1504000000
2017,TRV,86312,2056000000
2017,DAL,27904,3577000000
2017,YUM,1041061,1340000000
2017,EA,712515,967000000
2017,ORLY,898173,1133804000
2017,TDG,1260221,596887000
2017,REGN,872589,1198511000
2017,MSI,68505,-155000000
2017,PEG,788784,1574000000
2017,ES,72741,995515000
2017,LULU,1397187,258662000
2017,SBAC,1034054,103654000
2017,FLT,1175454,740200000
2017,SQ,1512673,-62813000
2017,VRSK,1442145,555100000
2017,PCAR,75362,1675200000
2017,VFC,103379,614923000
2017,TMUS,1283699,4536000000
2017,AZO,866787,1280869000
2017,SWK,93556,1226000000
2017,DTE,936340,1134000000
2017,CERN,804753,866978000
2017,DFS,1393612,2099000000
2017,CSGP,1057352,122695000
2017,RMD,943819,342284000
2017,ANSS,1013462,259251000
2017,PXD,1038357,833000000
2017,SNPS,883241,136563000
2017,PANW,1327567,-216600000
2017,XLNX,743988,622512000
2017,DXCM,1093557,-50200000
2017,SYF,1601712,1935000000
2017,FAST,815556,578600000
2017,GLW,24741,-497000000
2017,HIG,874766,-3131000000
2017,DLTR,935703,1714300000
2017,ALGN,1097149,231418000
2017,CDNS,813672,204101000
2017,NTRS,73124,1199000000
2017,VEEV,1393052,141966000
2017,VMC,1396009,601185000
2017,CDW,1402057,523000000
2017,MTD,1037646,375972000
2017,DOV,29905,811665000
2017,FTNT,1262039,31399000
2017,CINF,20286,1045000000
2017,CXO,1358071,956000000
2017,TIF,98246,370100000
2017,KMX,1170010,626970000
2017,RF,1281761,1263000000
2017,BMRN,1048477,-117042000
2017,PAYC,1590955,66807000
2017,CTL,18926,1389000000
2017,ULTA,1403568,409760000
2017,RNG,1384905,-26141000
2017,AKAM,1086222,218321000
2017,BURL,1579298,384852000
2017,HBAN,49196,1186000000
2017,HOLX,859737,755500000
2017,GRMN,1121788,694955000
2017,SSNC,1402436,328864000
2017,LBRDK,1611983,2033667000
2017,LNT,352541,467500000
2017,ATO,731802,396421000
2017,NTAP,1002047,509000000
2017,GPC,40987,616757000
2017,ANET,1596532,423201000
2017,OKTA,1660134,-114359000
2017,SGEN,1060736,-125530000
2017,TTWO,946581,67303000
2017,IT,749251,3279000
2017,AMTD,1173431,872000000
2017,ZBRA,877212,17000000
2017,QRVO,1604778,-16558000
2017,ALNY,1178670,-490874000
2017,IEX,832101,337257000
2017,TYL,860731,163945000
2017,MKTX,1278021,148089000
2017,NVR,906163,537521000
2017,EPAM,1352010,72760000
2017,RJF,720005,636235000
2017,TER,97210,257692000
2017,FICO,814547,128256000
2017,VMW,1124610,-8000000
2017,LNC,59558,2079000000
2017,URI,1067701,1346000000
2017,AAL,6201,1919000000
2017,DPZ,1286681,277905000
2017,PHM,822416,447221000
2017,TTD,1671933,50798000
2017,TSCO,916365,422599000
2017,WRB,11544,549094000
2017,BRO,79282,399630000
2017,HII,1501585,479000000
2017,ROKU,1428439,-63509000
2017,BAH,1443646,252490000
2017,PKI,31791,292633000
2017,AGNC,1423689,771000000
2017,NDSN,72331,295802000
2017,CHRW,1043277,504893000
2017,MRO,101778,-5723000000
2017,PKG,75677,668600000
2017,ZEN,1463172,-110638000
2017,GLPI,1575965,380598000
2017,JBHT,728535,686263000
2017,NBIX,914475,-142542000
2017,CSL,790051,365500000
2017,GGG,42888,252412000
2017,AAP,1158449,475505000
2017,CGNX,851205,177178000
2017,PTC,857005,6239000
2017,SEIC,350894,404389000
2017,USFD,1665918,444294000
2017,AZPN,929940,162196000
2017,SRPT,873303,-50688000
2017,LII,1069202,305700000
2017,ABMD,815094,52116000
2017,G,1398659,263111000
2017,LAMR,1090425,317676000
2017,MOH,1179929,-512000000
2017,ALK,766421,1034000000
2017,TPR,1116132,591000000
2017,NWL,814453,2748800000
2017,OLED,1005284,103885000
2017,TECH,842023,76086000
2017,JNPR,1043604,306200000
2017,ST,1477294,408357000
2017,FFIV,1048695,420761000
2017,LPLA,1397911,238863000
2017,CHE,19584,98177000
2017,CABO,1632127,234028000
2017,PRGO,1585364,42500000
2017,FLIR,354908,107223000
2017,KSS,885639,859000000
2017,HUBS,1404655,-39714000
2017,PBCT,1378946,337200000
2017,PFPT,1212458,-84337000
2017,RHI,315213,290584000
2017,SPR,1364885,354900000
2017,DCI,29644,232800000
2017,MDB,1441816,-96359000
2017,POST,1530950,48300000
2017,PB,1068851,272165000
2017,CIEN,936395,1261953000
2017,HZNP,1492426,-410526000
2017,ORI,74260,560500000
2017,WWD,108312,200507000
2017,FIVE,1177609,102451000
2017,CW,26324,214891000
2017,MIDD,769520,298128000
2017,MKSI,1049502,339132000
2017,UNM,5513,994200000
2017,W,1616707,-244614000
2017,AYX,1689923,-17499000
2017,Z,1617640,-94420000
2017,TOL,794170,535495000
2017,RL,1037038,-99300000
2017,NATI,935494,52411000
2017,CASY,726958,177485000
2017,JBLU,1158463,1147000000
2017,NTNX,1618732,-458011000
2017,SEE,1012100,814900000
2017,BERY,1378992,340000000
2017,ETSY,1370637,81800000
2017,WSM,719955,259545000
2017,NUAN,1002517,-150996000
2017,LB,701985,983000000
2017,BPOP,763901,107681000
2017,WAL,1212545,325492000
2017,EXEL,939767,154227000
2017,THG,944695,186200000
2017,CREE,895419,-98118000
2017,PII,931015,172492000
2017,CFR,39263,364149000
2017,HBI,1359841,61894000
2017,PRI,1475922,350255000
2017,NYCB,910073,466201000
2017,ALSN,1411207,504000000
2017,BLUE,1293971,-335643000
2017,ZNGA,1439404,26639000
2017,AWI,7431,104700000
2017,MTG,876437,355761000
2017,MANH,1056696,116481000
2017,SERV,1428875,510000000
2017,MAT,63276,-1053836000
2017,AYI,1144215,321700000
2017,CRI,1060822,302764000
2017,PCTY,1591698,6718000
2017,RP,1286225,377000
2017,HRB,12659,408945000
2017,CACC,885550,470200000
2017,CR,25445,171800000
2017,WBS,801337,255439000
2017,AGO,1273813,730000000
2017,XEC,1168054,494329000
2017,THO,730263,374254000
2017,FL,850209,284000000
2017,FSLR,1274494,-165615000
2017,JWN,72333,437000000
2017,PSTG,1474432,-177602000
2017,VVV,1674910,304000000
