year,Company,CIK,Payments to acquire property
2011,AAPL,320193,-4260
2011,JNJ,200406,-2893
2011,V,1403161,-353
2011,PG,80424,-3306
2011,INTC,50863,-10764
2011,UNH,731766,-1067
2011,T,732717,-20110
2011,HD,354950,-1221
2011,DIS,1001039,-3559
2011,VZ,732712,-16244
2011,KO,21344,-2920
2011,PFE,78003,-1660
2011,CSCO,858877,-1174
2011,ADBE,796343,-210294
2011,BA,12927,-1713
2011,NFLX,1065280,-49682
2011,CRM,1108524,-151645
2011,BMY,14272,-367
2011,NVDA,1045810,-138735
2011,AMGN,318154,-567
2011,COST,909832,-1290
2011,PM,1413329,-897
2011,UNP,100885,-3176
2011,TXN,97476,-816
2011,LMT,936468,-814
2011,TSLA,1318605,-197896
2011,QCOM,804328,-593
2011,AMT,1053507,-523015
2011,SBUX,829224,-531.9
2011,DHR,313616,-334471
2011,CVS,64803,-1872
2011,AXP,4962,-1189
2011,FIS,1136893,-123.9
2011,MO,764180,-105
2011,GILD,882095,-131904
2011,BDX,10795,-515385
2011,CI,701221,-422
2011,CME,1156375,-172.2
2011,TJX,109198,-803330
2011,SYK,310764,-226
2011,ANTM,1156039,-519.5
2011,SPGI,64040,-119
2011,INTU,896878,-114
2011,DUK,1326160,-4363
2011,D,715957,-3652
2011,FISV,798354,-192
2011,ISRG,1035267,-82.9
2011,BLK,1364742,-247
2011,CL,21665,-537
2011,RTN,1047122,-340
2011,VRTX,875320,-34595
2011,BIIB,875045,-208020
2011,BSX,885725,-304
2011,MMC,62709,-280
2011,AMAT,6951,-209
2011,NOC,1133421,-488
2011,TGT,27419,-4368
2011,NSC,702165,-2160
2011,SCHW,316709,-180
2011,APD,2969,-1351.7
2011,AON,315293,-241
2011,WM,823768,-1324
2011,AMD,2488,-250
2011,EQIX,1101239,-28066
2011,COF,927628,-315
2011,PGR,80661,-78.9
2011,HUM,49071,-346
2011,EW,1099800,-82.9
2011,LRCX,707549,-127495
2011,EMR,32604,-647
2011,ATVI,718877,-72
2011,ILMN,1110803,-77800
2011,EL,1001250,-351
2011,MCO,1059556,-67.7
2011,ADI,6281,-122996
2011,ROST,745732,-416271
2011,KMI,1506307,-1200.1
2011,DG,29534,-514861
2011,HCA,860730,-1679
2011,MAR,1048286,-183
2011,ALL,899051,-246
2011,DD,30554,-1843
2011,ROP,882835,40702
2011,CNC,1071739,-68993
2011,OXY,797468,-7518
2011,XEL,72903,-2205567
2011,CTSH,1058290,-288221
2011,MPC,1510295,-1185
2011,VLO,1035002,-2355
2011,IR,1466258,-242.9
2011,ZBH,1136869,-113.8
2011,YUM,1041061,-940
2011,HPQ,47217,-4539
2011,WEC,783325,-830.8
2011,TROW,1113169,-82.3
2011,OKE,1039684,-1336067
2011,ORLY,898173,-328319
2011,JCI,833444,-788
2011,TDG,1260221,-18026
2011,MSI,68505,-186
2011,PEG,788784,-2083
2011,LULU,1397187,-116657
2011,SBAC,1034054,-126938
2011,WLTW,1140536,-111
2011,FLT,1175454,-13454
2011,EIX,827052,-4808
2011,VRSK,1442145,-59829
2011,PCAR,75362,-340.7
2011,MNST,865752,-25552
2011,ADM,7084,-1247
2011,TMUS,1283699,-889769
2011,AZO,866787,-321604
2011,SWK,93556,-302.1
2011,MCHP,827054,-29587
2011,CMI,26172,-622
2011,BLL,9389,-443.8
2011,CERN,804753,-104795
2011,AWK,1410636,-924858
2011,MSCI,1408198,-1811
2011,DFS,1393612,-111560
2011,TSN,100493,-643
2011,CSGP,1057352,-15013
2011,RMD,943819,-66609
2011,ANSS,1013462,-22063
2011,IDXX,874716,-52464
2011,LVS,1300514,-1508493
2011,SNPS,883241,-57345
2011,XLNX,743988,-64979
2011,KR,56873,-1898
2011,AMP,820027,-250
2011,HSY,47111,-323961
2011,VRSN,1014473,-192660
2011,VTR,740260,-50473
2011,DXCM,1093557,-8006
2011,FAST,815556,-120043
2011,FITB,35527,-319
2011,ALGN,1097149,-30404
2011,CLX,21076,-228
2011,CDNS,813672,-31421
2011,CPRT,900075,-70170
2011,RCL,884887,-1173626
2011,WDC,106040,-778
2011,DHI,882184,-16.3
2011,HAL,45012,-2953
2011,KEY,91576,-158
2011,VMC,1396009,-98912
2011,CDW,1402057,-45.7
2011,CMS,811156,-882
2011,EFX,33185,-75
2011,MTD,1037646,-98500
2011,LH,920148,-145.7
2011,TFX,96943,-45087
2011,MXIM,743316,-175253
2011,MLM,916076,-155363
2011,DOV,29905,-271809
2011,COO,711404,-103665
2011,MRVL,1058057,-88779
2011,MKL,1096343,-60132
2011,KSU,54480,-495
2011,OMC,29989,-185.5
2011,CINF,20286,-7
2011,TIF,98246,-239443
2011,MGM,789570,-301244
2011,BMRN,1048477,-73219
2011,CTL,18926,-2411
2011,CAH,721371,-291.3
2011,EXPE,1324424,-207837
2011,CTXS,877890,-111932
2011,AKAM,1086222,-140218
2011,NUE,73309,-440502
2011,DGX,1022079,-161556
2011,WAB,943452,-37971
2011,HOLX,859737,-27785
2011,LDOS,1336920,-65
2011,GRMN,1121788,-38366
2011,MAS,62996,-151
2011,SSNC,1402436,-6222
2011,UDR,74208,-13267
2011,ABC,1140859,-167954
2011,ATO,731802,-622965
2011,NTAP,1002047,-222.7
2011,GPC,40987,-103469
2011,AES,874761,-2430
2011,BR,1383312,-29.2
2011,L,60086,-857
2011,SIVB,719739,-30751
2011,GWW,277135,-196942
2011,FOXA,1308161,-1171
2011,SGEN,1060736,-11252
2011,TDY,1094285,-41.7
2011,TTWO,946581,-3149
2011,INCY,879169,-3799
2011,AMTD,1173431,-152889
2011,NDAQ,1120193,-88
2011,CE,1306830,-349
2011,HAS,46080,-99402
2011,FMC,37785,-189.5
2011,HRL,48465,-96911
2011,FNF,1331875,-29.1
2011,WYNN,1174922,-184146
2011,ALNY,1178670,-1291
2011,IEX,832101,-35175
2011,XRAY,818479,-71186
2011,EXPD,746515,-78115
2011,MKTX,1278021,-3160
2011,NVR,906163,-11444
2011,HST,1070750,-327
2011,RJF,720005,-37200
2011,TER,97210,-86097
2011,WU,1365135,-52.8
2011,AVY,8818,-105
2011,FICO,814547,-14020
2011,VMW,1124610,-230091
2011,PODD,1145197,-11114
2011,Y,775368,-6411
2011,DPZ,1286681,-24349
2011,PHM,822416,-21238
2011,TRMB,864749,-23278
2011,TSCO,916365,-166156
2011,UHS,352915,-285682
2011,PNW,764622,-884350
2011,WRB,11544,-45320
2011,BRO,79282,-13608
2011,FDS,1013237,-29343
2011,HII,1501585,-197
2011,PKI,31791,-30592
2011,LKQ,1065696,-86416
2011,HSIC,1000228,-45176
2011,EMN,915389,-457
2011,CCK,1219601,-401
2011,NDSN,72331,-20239
2011,TAP,24545,-235.4
2011,FBHS,1519751,-68.5
2011,DISH,1001082,-778905
2011,CHRW,1043277,-35932
2011,SIRI,908937,-137429
2011,MRO,101778,-3295
2011,PKG,75677,-280213
2011,MTN,812011,-95640
2011,NRG,1013871,-2310
2011,WEX,1309108,-25145
2011,JBHT,728535,-502282
2011,WHR,106640,-608
2011,CF,1324404,-247.2
2011,NBIX,914475,-750
2011,ALB,915913,-190574
2011,OGE,1021635,-1270.4
2011,CSL,790051,-79.6
2011,GGG,42888,-23854
2011,LYV,1335258,-107500
2011,AAP,1158449,-268129
2011,IRM,1020569,-209155
2011,IPG,51644,-140.3
2011,DVN,1090012,-7534
2011,PTC,857005,-27817
2011,PCG,1004980,-4038
2011,SEIC,350894,-12271
2011,UGI,884614,-360.7
2011,TTC,737758,-57447
2011,CY,791915,-80556
2011,POOL,945841,-19454
2011,NOV,1021860,-483
2011,LII,1069202,-43.2
2011,G,1398659,-35776
2011,MASI,937556,-5057
2011,CPB,16732,-272
2011,DVA,927066,-400156
2011,CZR,858339,-283.2
2011,LAMR,1090425,-107070
2011,ZION,109380,-77669
2011,ALK,766421,-387.4
2011,JAZZ,1232524,-1279
