year,Company,CIK,Revenue
2015,AAPL,320193,2.33715E+11
2015,AMZN,1018724,1.07006E+11
2015,FB,1326801,17928000000
2015,GOOGL,1652044,74989000000
2015,V,1403161,13880000000
2015,INTC,50863,55355000000
2015,UNH,731766,1.57107E+11
2015,T,732717,1.46801E+11
2015,DIS,1001039,52465000000
2015,VZ,732712,1.3162E+11
2015,CSCO,858877,49161000000
2015,ADBE,796343,4795511000
2015,BA,12927,96114000000
2015,WMT,104169,4.8213E+11
2015,MDT,1613103,20261000000
2015,NFLX,1065280,6779511000
2015,ABT,1800,20405000000
2015,NVDA,1045810,5010000000
2015,AMGN,318154,21662000000
2015,IBM,51143,81741000000
2015,COST,909832,26101000000
2015,UNP,100885,21813000000
2015,LLY,59478,19958700000
2015,TXN,97476,13000000000
2015,NKE,320187,30601000000
2015,ORCL,1341439,38226000000
2015,TSLA,1318605,4046025000
2015,QCOM,804328,25281000000
2015,AMT,1053507,4771516000
2015,CVS,64803,1.5329E+11
2015,GILD,882095,32639000000
2015,CHTR,1091667,2512000000
2015,BDX,10795,10282000000
2015,CI,701221,37876000000
2015,CME,1156375,3326800000
2015,TJX,109198,30944938000
2015,ANTM,1156039,79156500000
2015,SPGI,64040,1374000000
2015,INTU,896878,4192000000
2015,SO,92122,17489000000
2015,DUK,1326160,23459000000
2015,D,715957,11683000000
2015,FISV,798354,5254000000
2015,ISRG,1035267,2384400000
2015,CL,21665,16034000000
2015,RTN,1047122,23247000000
2015,AGN,1578845,15071000000
2015,MU,723125,16192000000
2015,VRTX,875320,1032336000
2015,BIIB,875045,10763800000
2015,GPN,1123360,2773718000
2015,ITW,49826,13405000000
2015,BSX,885725,7477000000
2015,AMAT,6951,9659000000
2015,TGT,27419,73785000000
2015,NSC,702165,10511000000
2015,SCHW,316709,6380000000
2015,AON,315293,11682000000
2015,WM,823768,12961000000
2015,AMD,2488,3991000000
2015,EQIX,1101239,2725867000
2015,ICE,1571949,4682000000
2015,AEP,4904,16453200000
2015,HUM,49071,13361000000
2015,EW,1099800,2493700000
2015,LRCX,707549,5259312000
2015,AIG,5272,58327000000
2015,ATVI,718877,4664000000
2015,ADSK,769397,2504100000
2015,BAX,10456,9968000000
2015,ILMN,1110803,2219762000
2015,MCO,1059556,3484500000
2015,ADI,6281,3435092000
2015,ETN,1551182,20855000000
2015,KMI,1506307,14403000000
2015,MAR,1048286,14486000000
2015,ALL,899051,35653000000
2015,MET,1099219,69951000000
2015,PRU,1137774,57119000000
2015,CNC,1071739,22760000000
2015,OXY,797468,12480000000
2015,XEL,72903,11024486000
2015,FDX,1048911,47453000000
2015,CTSH,1058290,12416000000
2015,DAL,27904,40704000000
2015,YUM,1041061,13105000000
2015,HLT,1585689,11272000000
2015,EA,712515,4515
2015,OKE,1039684,7763206000
2015,ORLY,898173,7966674000
2015,JCI,833444,9902000000
2015,TDG,1260221,2707115000
2015,WDAY,1327811,1162346000
2015,EQR,906107,2744965000
2015,MSI,68505,5695000000
2015,PEG,788784,10415000000
2015,ES,72741,7954827000
2015,SBAC,1034054,1638474000
2015,WLTW,1140536,3829000000
2015,FLT,1175454,1702865000
2015,MCK,927653,179045
2015,KLAC,319201,2814049000
2015,EIX,827052,11524000000
2015,PPL,922224,7669000000
2015,VFC,103379,12376744000
2015,AZO,866787,10187340000
2015,SWK,93556,11171800000
2015,TWTR,1418091,2218032000
2015,SPLK,1353283,668435000
2015,MCHP,827054,2147036
2015,CMI,26172,19110000000
2015,DTE,936340,10337000000
2015,CERN,804753,4425267000
2015,CTAS,723254,4476886000
2015,MSCI,1408198,272893000
2015,TSN,100493,41373000000
2015,CSGP,1057352,711764000
2015,RMD,943819,1678912000
2015,ANSS,1013462,942753000
2015,PXD,1038357,4825000000
2015,IDXX,874716,1601892000
2015,LVS,1300514,11688461000
2015,SNPS,883241,2242211000
2015,PANW,1327567,283879000
2015,XLNX,743988,2377344
2015,BXP,1037540,2490821000
2015,LYB,1489393,32735000000
2015,ALXN,899866,2604047000
2015,HSY,47111,7386626000
2015,VTR,740260,3286398000
2015,DXCM,1093557,402000000
2015,ALGN,1097149,845486000
2015,CLX,21076,5655000000
2015,RSG,1060391,9115000000
2015,CPRT,900075,1146079000
2015,ESS,920522,1194407000
2015,HAL,45012,23633000000
2015,CDW,1402057,3418400000
2015,AJG,354190,5392400000
2015,CMS,811156,6456000000
2015,LEN,920760,2945567000
2015,MTD,1037646,2395447000
2015,FCX,831259,15877000000
2015,LH,920148,8680100000
2015,TFX,96943,1809690000
2015,ACGL,947484,3936590000
2015,COO,711404,1797060000
2015,FTNT,1262039,1009268000
2015,MRVL,1058057,3706963
2015,KSU,54480,2418800000
2015,OMC,29989,15134400000
2015,CINF,20286,5142000000
2015,MGM,789570,9190068000
2015,BMRN,1048477,889895000
2015,CTL,18926,17900000000
2015,ULTA,1403568,1268295000
2015,PFG,1126328,11964400000
2015,EXPE,1324424,6672317000
2015,RNG,1384905,296228000
2015,CTXS,877890,3275594000
