cik,symbol,year,quarter,filing_url
1800,ABT,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1551138/0001638599-18-001154.txt
2488,AMD,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1663719/0001127602-18-028974.txt
2969,APD,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1748810/0000903423-18-000536.txt
3570,LNG,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/910638/0001209191-18-054365.txt
4127,SWKS,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/66740/0001127602-18-029095.txt
4281,ARNC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1478660/0001104659-18-060328.txt
4447,HES,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1551139/0001638599-18-001156.txt
4457,UHAL,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1551139/0001638599-18-001150.txt
4904,AEP,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1551139/0001638599-18-001153.txt
4962,AXP,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1591442/0001209191-18-054366.txt
4977,AFL,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1023731/0001023731-18-000040.txt
5272,AIG,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1591588/0001591588-18-000053.txt
5513,UNM,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1709665/0000947871-18-000795.txt
6201,AAL,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1192382/0001209191-18-053440.txt
6281,ADI,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/824142/0000824142-18-000097.txt
6769,APA,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1750/0001127602-18-028746.txt
6951,AMAT,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1800/0001179110-18-011958.txt
7084,ADM,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1199936/0000315858-18-000087.txt
7431,AWI,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1222888/0001127602-18-028774.txt
7536,ARW,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/815094/0001179110-18-012017.txt
7789,ASB,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1550962/0000318300-18-000223.txt
8670,ADP,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1201260/0001705696-18-000070.txt
8818,AVY,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/712034/0000712034-18-000137.txt
8858,AVT,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1138723/0001138723-18-000050.txt
9389,BLL,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/2034/0001567619-18-003735.txt
10456,BAX,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1220630/0001628280-18-012240.txt
10795,BDX,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1209930/0001562180-18-004109.txt
11544,WRB,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1008848/0001567619-18-003636.txt
12208,BIO,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1183934/0001209191-18-053009.txt
12659,HRB,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1196980/0000099780-18-000159.txt
12927,BA,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1525211/0001209191-18-052940.txt
14272,BMY,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1175182/0001225208-18-014406.txt
14930,BC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1395848/0001567619-18-003674.txt
16040,CBT,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/796343/0000796343-18-000164.txt
16058,CACI,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1703056/0001703056-18-000045.txt
16732,CPB,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1097278/0001179110-18-011767.txt
16918,STZ,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/868857/0001179110-18-011967.txt
18230,CAT,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1040470/0001040470-18-000048.txt
18349,SNV,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1337553/0001209191-18-052854.txt
18926,CTL,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1036848/0001567619-18-003672.txt
19446,CMD,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/40888/0001127602-18-029686.txt
